GRB,TriggerNumber,BAT T90[sec],XRT dt [sec],XRT InitialTemporalIndex,XRTSpectral Index(Gamma),UVOT dt [sec],UVOT Magnitude,Other UVOT Filters,Other Observatory Detections,Redshift,UVOT Vmag,UVOT Vmag lim
210119A,1017711,0.06,,,,,,{'idx': 16},"Fermi (GBM), MASTER-OAFA, Insight-HXMT/HE, GECAM-B",,,equal
201221D,1014037,0.16,87.42,,1.28331,92,V>19.2,"{'U': '19.4', 'UVM2': '19.5', 'UVW1': '19.7', 'UVW2': '19.9', 'White': '21.0', 'idx': 24}","NOT, Lowell Discovery Telescope (4.3m), Konus-Wind, GTC (10.4m), Fermi (GBM), MTT, DOT (3.6m)",1.046,19.2,brightest
201006A,998907,0.49,83.94,-0.986,2.11701,88,V>18.9,"{'B': '19.8', 'U': '20.3', 'UVW1': '18.7', 'UVW2': '17.3', 'White': '21.0', 'idx': 51}","INTEGRAL, Fermi (GBM)",,18.9,brightest
200907B,995004,0.83,80.13,-2.087,1.9645400000000002,84,V>17.7,"{'B': '19.4', 'U': '20.4', 'UVM2': '18.3', 'UVW1': '19.2', 'UVW2': '19.2', 'idx': 59}",AstroSat CZTI,,17.7,brightest
200522A,973628,0.62,83.42,-0.6754,1.38048,448,V>17.2,"{'White': '19.5', 'idx': 85}","VLA @ 6 GHZ (possibly from host), LCO (1m), Gemini-North, HST",0.4,17.2,brightest
200411A,965784,0.22,50.74,-0.9587,1.7686400000000002,58,V>18.5,"{'B': '20.3', 'U': '21.0', 'UVM2': '18.1', 'UVW1': '18.8', 'UVW2': '19.2', 'idx': 94}",Fermi (GBM),,18.5,brightest
191031D,932608,0.29,88.83,-1.982,1.88342,93,V>19.9,"{'B': '20.4', 'U': '20.3', 'UVM2': '19.6', 'UVW1': '19.8', 'UVW2': '19.9', 'idx': 132}","Fermi (GBM), AGILE (MCAL), Konus-Wind, AstroSat (CZTI), CALET (CGBM)",,19.9,brightest
190627A,911609,1.60,109.76,-0.3297,1.95997,115,,"{'White': '18.15', 'idx': 162}","NUTTelA-TAO, Montarrenti Observatory (0.53m), VIRT (0.5m), MASTER-SAAO, GMG (2.4m), Calar Alto (2.2m), Liverpool (2m), Ondrejov (50cm), NOT, Xinglong (2.16m), Koshka Zeiss-1000 (1m), VLT, DCT (4.3m)",1.942,,equal
190610A,907754,0.62,292300,,,292282,V>20.3,{'idx': 166},"Insight-HXMT/HE, CALET, Konus-Wind",,20.3,brightest
190427A,900730,0.3,3735.8,,,3737,,"{'U': '19.9', 'idx': 174}","Fermi (GBM), CALET (CGBM)",,,equal
190326A,895006,0.08,,,,,,"{'UVW1': '20.47', 'idx': 180}",Insight-HXMT/HE,,,equal
181123B,873186,0.26,80.25,-1.404,1.9875099999999999,84,V>19.8,"{'B': '20.1', 'U': '20.1', 'UVM2': '20.5', 'UVW1': '20.2', 'UVW2': '19.8', 'idx': 209}",Insight-HXMT/HE,,19.8,brightest
180805A,851829,1.68,86.13,-0.3151,1.5042,89,V>18.0,"{'B': '19.1', 'U': '19.6', 'UVM2': '19.4', 'UVW1': '19.3', 'UVW2': '18.1', 'idx': 238}",,,18.0,brightest
180727A,850231,1.1,,-2.353,1.85342,77,V>19.6,"{'B': '21.2', 'U': '20.3', 'UVM2': '21.0', 'UVW1': '20.0', 'UVW2': '21.4', 'idx': 240}",Fermi (GBM),,19.6,brightest
180718A,Ground Analysis,0.08,113700,,,,,{'idx': 244},Fermi (GBM),,,equal
180715A,848048,0.68,3167.8,,,4312,V>19.1,B>20.U>19.8UVW2>19.5UVM2>19.7UVW2>18.7White>21.0,"Fermi (GBM), CALET, Astrosat (CZTI)",,19.1,brightest
180402A,821103,0.18,79.90,-1.94,1.45533,140,V>19.2,"{'B': '20.2', 'U': '20.3', 'UVW1': '20.4', 'UVW2': '19.6', 'White': '20.6', 'idx': 274}","Fermi (GBM), Konus-Wind",,19.2,brightest
180204A,808483,1.16,87.17,-1.114,1.99449,92,V>19.0,"{'B': '20.7', 'U': '21.1', 'UVM2': '20.8', 'UVW1': '21.0', 'UVW2': '20.1', 'idx': 290}","Fermi (GBM), Konus-Wind",,19.0,brightest
170728A,765008,1.25,70.64,-0.8887,2.2185900000000003,74,V>19.1,"{'B': '19.7', 'U': '20.0', 'UVM2': '20.6', 'UVW1': '20.1', 'UVW2': '19.6', 'idx': 332}",,,19.1,brightest
170524A,754322,0.10,60.7,,,67,V>17.9,"{'B': '18.7', 'U': '19.5', 'UVM2': '17.3', 'UVW1': '18.3', 'UVW2': '18.6', 'idx': 347}",,,17.9,brightest
170428A,750298,0.20,84.63,-1.026,2.97704,740,V>20.0,"{'B': '21.0', 'U': '19.5', 'UVM2': '20.', 'UVW1': '19.5', 'UVW2': '20.0', 'idx': 352}","Konus-Wind, MPG (2.2m), HJT (1.5m), DCT (4.3m), TNG (3.6m), DOT (3.6m)",,20.0,brightest
170325A,Ground Analysis,0.3,,,,,,{'idx': 358},"Fermi (GBM), AZT-33IK",,,equal
170127B,735331,0.51,74.68,-1.799,1.56726,114,V>19.4,U>19.9White>21.0,Fermi (GBM),,19.4,brightest
170112A,732188,0.06,62.3,,,279,V>19.2,"{'B': '20.0', 'U': '20.4', 'UVM2': '20.2', 'UVW1': '19.9', 'UVW2': '20.0', 'idx': 378}",,,19.2,brightest
161104A,720568,0.1,58.28,-0.3092,1.35561,69,,"{'UVM2': '21.7', 'UVW1': '19.9', 'UVW2': '19.9', 'White': '20.8', 'idx': 394}",,,,equal
160927A,713782,0.48,79.49,-1.004,1.7155,85,V>19.9,"{'B': '21.5', 'U': '21.1', 'UVM2': '20.5', 'UVW1': '20.2', 'UVW2': '21.0', 'idx': 406}","RTT150 (1.5m), TNG (3.6m), MPG (2.2m), NOT (2.56m), Magellan/Baade (6.5m), CALET, GTC (10.4m)",,19.9,brightest
160821B,709357,0.48,65.97,-2.444,2.39723,76,V>19.1,"{'B': '20.2', 'U': '20.6', 'UVM2': '19.5', 'UVW1': '19.6', 'UVW2': '20.1', 'idx': 414}","NOT (2.56m), Fermi (GBM), WHT, GTC (10.4m), VLA @ 5.0 GHz, HST",,19.1,brightest
160726A,706052,0.7,,,,,,{'idx': 421},"Fermi (GBM), Konus-Wind",,,equal
160714A,704310,0.35,1677.2,,,1682,V>19.67,"{'B': '20.12', 'U': '20.07', 'UVW1': '20.06', 'UVW2': '20.08', 'White': '21.04', 'idx': 423}",Fermi (GBM),,19.67,brightest
160624A,701288,0.2,73.72,-3.791,1.60333,77,V>19.5,"{'B': '20.7', 'U': '20.7', 'UVM2': '20.7', 'UVW1': '20.8', 'UVW2': '20.3', 'idx': 432}",Fermi (GBM),0.483,19.5,brightest
160601A,688452,0.12,73.97,-0.4872,2.27694,78,V>17.30,"{'B': '18.32', 'UVM2': '17.46', 'UVW1': '17.72', 'UVW2': '17.87', 'U_fc': '20.19', 'idx': 437}","NOT, AZT-33IK, GTC, Gemini-North (8m), AbAO (0.7m)",,17.3,brightest
160525B,687522,0.29,83.40,-1.322,1.90821,88,V>18.9,"{'B': '19.8', 'U': '20.0', 'UVM2': '18.2', 'UVW1': '19.5', 'UVW2': '18.9', 'idx': 438}",,,18.9,brightest
160411A,682339,0.36,3132.28,-1.359,1.82276,3139,V>19.4,"{'B': '19.9', 'U': '20.0', 'UVM2': '20.1', 'UVW1': '20.2', 'UVW2': '20.0', 'idx': 452}","Fermi (GBM), Gemini-South",,19.4,brightest
160408A,682059,0.32,94.78,-1.25,2.06621,98,V>19.4,"{'B': '19.6', 'U': '19.9', 'UVM2': '18.8', 'UVW1': '19.5', 'UVW2': '19.9', 'idx': 455}","Fermi (GBM), Gemini-North, CALET",,19.4,brightest
151229A,668689,1.78,86.91,-0.6067,2.0519700000000003,90,V>18.8,"{'B': '19.5', 'U': '19.8', 'UVM2': '19.9', 'UVW1': '19.7', 'UVW2': '20.0', 'idx': 480}",Fermi (GBM),,18.8,brightest
151228A,668543,0.27,178600,,,,,{'idx': 482},Fermi (GBM),,,equal
151205B,666378,1.4,3127.1,,,3131,,{'idx': 486},,,,equal
151127A,665268,0.19,79.2,-1.242,2.4708099999999997,77,,"{'UVM2': '20.0', 'UVW1': '20.3', 'UVW2': '21.3', 'White': '21.2', 'idx': 488}",,,,equal
150831A,653838,1.15,83.44,-2.511,1.6358,88,V>19.8,"{'B': '20.4', 'U': '21.0', 'UVM2': '21.3', 'UVW1': '21.3', 'UVW2': '21.1', 'idx': 516}","INTEGRAL, Konus-Wind",,19.8,brightest
150728A,650617,0.83,70.2,-0.4,,75,V>19.8,"{'B': '21.1', 'U': '21.0', 'UVM2': '20.2', 'UVW1': '20.4', 'UVW2': '20.1', 'idx': 523}",,,19.8,brightest
150710A,648437,0.15,49.2,,,53,V>18.1,"{'B': '19.1', 'U': '20.0', 'UVM2': '18.2', 'UVW1': '18.5', 'UVW2': '19.0', 'idx': 532}",Konus-Wind,,18.1,brightest
150423A,638808,0.22,70.12,-0.951,1.53257,73,V>20.9,B>20.9U>20.8UVW1>20.9UVM2>20.8UVW1>21.6white>21.5,"MPG (2.2m), Keck I (10m), HJT (1.5m), VLT, UKIRT (3.8m)",1.394,20.9,brightest
150301A,632995,0.48,58.28,-0.5348,1.7096900000000002,66,V>19.40,"{'B': '21.16', 'U': '20.08', 'UVM2': '19.40', 'UVW1': '19.61', 'UVW2': '19.82', 'idx': 567}",Fermi (GBM),,19.4,brightest
150120A,627137,1.20,76.2,-4.6,2.0,83,V>19.5,"{'B': '21.0', 'U': '20.6', 'UVM2': '21.1', 'UVW1': '20.6', 'UVW2': '20.5', 'idx': 580}",Fermi (GBM),0.460,19.5,brightest
150101B,Ground Analysis20464,0.018,139200,0.2437,2.30384,,,"{'White': '18.44', 'idx': 583}","Fermi (GBM), GTC (10.4m), XMM-Newton, Gemini-South, INTEGRAL",0.093,,equal
150101A,623158,0.060,60.9,-0.6,,65,V>20.1,"{'B': '20.4', 'U': '21.0', 'UVM2': '19.9', 'UVW1': '19.4', 'UVW2': '20.4', 'idx': 584}",Fermi (GBM),,20.1,brightest
141212A,621229,0.30,69.11,-0.7295,1.95822,72,V>18.81,"{'B': '19.8', 'U': '20.1', 'UVW1': '19.3', 'UVW2': '18.6', 'White': '21.2', 'idx': 591}",,0.596,18.81,brightest
141205A,620534Ground Analysis20444,1.1,23940,,,23934,V>20.1,U>20.7White>21.7,Fermi (GBM),,20.1,brightest
140930B,614094,0.84,196.93,-1.671,1.7149400000000001,201,V>18.8,"{'B': '19.9', 'U': '19.4', 'UVM2': '19.3', 'UVW1': '19.4', 'UVW2': '19.7', 'idx': 609}","WHT, MMT (6.5m), Keck I (10m), Konus-Wind, MPG (2.2m), Gemini South (8m), MASTER II",,18.8,brightest
140903A,611599,0.30,59,-0.186,1.63218,76,V>18.9,"{'B': '20.0', 'U': '18.2', 'UVM2': '18.8', 'UVW1': '18.4', 'UVW2': '18.6', 'idx': 616}","DCT (4.3m), Palomar (60""), VLA @ 6 GHz, Faulkes North (2m), NOT (2.5m), Gemini-North, Chandra, GMRT @ 1390 MHz",0.351,18.9,brightest
140622A,602278,0.13,93.40,-6.634,1.5546,97,V>19.6,B>20.1U>20.2UVW1>19.6UVM2>20.6UW2>20.2White>21.2,,0.959,19.6,brightest
140611A,Ground Analysis20385,1.9,80500,,,,,{'idx': 647},,,,equal
140606A,600951,0.34,4600,,,68,V>20.24,"{'B': '20.8', 'U': '20.8', 'UVM2': '20.6', 'UVW1': '20.8', 'UVW2': '20.8', 'idx': 651}",,,20.24,brightest
140516A,599188,0.19,79.26,-0.2118,2.16355,84,V>19.5,"{'B': '20.9', 'U': '21.0', 'UVM2': '21.0', 'UVW1': '21.6', 'UVW2': '21.1', 'idx': 655}",,,19.5,brightest
140414A,Ground Analysis20375,0.7,40400,,,40000,,"{'White': '20', 'idx': 666}",,,,equal
140402A,594308,0.031,,,,,V>19.8,U>20.5White>21.5,,,19.8,brightest
140320A,592544,0.45,93,,,3723,V>19.2,"{'B': '20.8', 'U': '19.7', 'UVM2': '20.0', 'UVW1': '19.8', 'UVW2': '20.2', 'idx': 675}",Fermi (GBM),,19.2,brightest
140129B,585149,1.36,67.12,-1.242,2.1156200000000003,356,V=18.04,"{'B': '17.90', 'U': '17.24', 'UVM2': '17.57', 'UVW1': '17.27', 'UVW2': '17.99', 'idx': 689}",MASTER II,,18.04,equal
131004A,573190,1.54,69.97,-1.013,2.2143599999999997,75,V>20.24,"{'U': '20.72', 'U=20.72B': '21.0', 'UVM2': '20.8', 'UVW1': '20.9', 'UVW2': '21.0', 'idx': 720}","NOT, TNG (3.6m), Liverpool (2m), Magellan (6.5m), MPG (2.2m), TNG (4m), Fermi (GBM)",0.7170.71,20.24,brightest
130912A,570465,0.28,93.90,-1.202,1.5729899999999999,98,V>20.3,"{'B': '21.6', 'U': '21.6', 'UVM2': '21.8', 'UVW1': '22.1', 'UVW2': '21.6', 'idx': 728}","MPG/ESO (2.2m), Fermi (GBM), Palomar (60""), WHT, Konus-Wind",,20.3,brightest
130626A,559075,0.16,58.6,,,67,V>19.8,B>21.1U>20.7UVW1>20.1White>22.0,,,19.8,brightest
130603B,557310,0.18,59.05,-0.3536,2.20112,62,V>19.8,"{'B': '21.14', 'U': '20.87', 'UVM2': '20.4', 'UVW1': '20.6', 'UVW2': '20.6', 'idx': 765}","WHT, NOT (2.5m), GTC, Magellan (6.5m), Tubitak National Observatory (1.0m), Observatorio de Sierra Nevada (1.5m), Gemini-South, VLA @ 5.8 GHz, VLT, Palomar (60""), HJT (1.5m), Konus-Wind, HST, XMM-Newton",0.3560.3560.3560.3564,19.8,brightest
130515A,555880,0.29,75.2,,,79,V>19.8,"{'B': '21.0', 'U': '20.7', 'UVM2': '20.0', 'UVW1': '20.7', 'UVW2': '20.7', 'idx': 773}","Fermi (GBM), Konus-Wind, Suzaku",,19.8,brightest
130313A,550906,0.26,78.1,,1.6,81,V>20.4,"{'B': '21.4', 'U': '20.3', 'UVM2': '21.0', 'UVW1': '20.9', 'UVW2': '21.5', 'idx': 794}",,,20.4,brightest
121226A,544027,1.00,100.59,-1.041,2.50163,104,V>20.4,"{'B': '2.3', 'U': '20.9', 'UVM2': '21.0', 'UVW1': '20.7', 'UVW2': '20.2', 'idx': 807}","GTC (10.4m), VLA @ 5.8 GHz, TNG",,20.4,brightest
120804A,529686,0.81,93.64,-1.103,2.05668,96,V>20.6,"{'B': '20.9', 'U': '21.3', 'UVM2': '21.3', 'UVW1': '20.3', 'UVW2': '21.0', 'idx': 847}","Gemini-North, EVLA @ 5.8 GHz, Konus-Wind, Chandra, XMM-Newton",,20.6,brightest
120630A,525451,0.6,,-1.566,1.75873,150,V>19.0,"{'B': '20.0', 'U': '20.3', 'UVM2': '19.0', 'UVW1': '19.3', 'UVW2': '19.5', 'idx': 863}",NOT (2.5m),,19.0,brightest
120521A,522578,0.45,73.75,-1.687,1.84175,77,"V>19,7","{'B': '21.9', 'U': '21.6', 'UVM2': '2.6', 'UVW1': '20.4', 'UVW2': '20.2', 'idx': 868}",,,197.0,brightest
120403A,519211,1.25,,,,,,{'idx': 874},,,,equal
120305A,516997,0.10,63.18,-2.371,3.1558,72,V>19.7,B>20.4U>21.2>UVW1>20.7UVM2>21.0UVW2>20.4White>21.1,,,19.7,brightest
120229A,516571,0.22,,,,,,{'idx': 887},,,,equal
111126A,Ground Analysis,0.8,,,,,,{'idx': 919},,,,equal
111117A,507901,0.47,,-1.294,2.1959299999999997,137,V>19.3,"{'B': '20.0', 'U': '20.7', 'UVM2': '19.5', 'UVW1': '20.4', 'UVW2': '21.5', 'idx': 922}","NOT, Fermi (GBM), Chandra, GMG",,19.3,brightest
111020A,505926,0.40,102.0,-0.764,2.19702,80,V>18.8,"{'B': '19.9', 'U': '20.3', 'UVM2': '21.1', 'UVW1': '21.0', 'UVW2': '20.5', 'idx': 931}","Chandra, XMM-Newton",,18.8,brightest
110420B,451794,0.084,2600,,,2562,V>19.9,"{'B': '20.4', 'U': '20.0', 'UVM2': '19.5', 'UVW1': '19.6', 'UVW2': '19.7', 'idx': 964}",Fermi (GBM),,19.9,brightest
110112A,442039,0.5,75.41,-0.9671,2.16553,80,V>19.6,"{'B': '20.3', 'U': '20.2', 'UVM2': '18.9', 'UVW1': '18.8', 'UVW2': '19.2', 'idx': 991}","TNT, WHT",,19.6,brightest
101224A,440955,0.2,77.63,,3.41005,83,V>20.2,"{'B': '21.4', 'U': '20.8', 'UVM2': '20.8', 'UVW1': '20.8', 'UVW2': '20.7', 'idx': 997}",Fermi (GBM),,20.2,brightest
101219A,440606,0.6,221.92,-1.94,1.53346,278,V>19.7,"{'B': '20.3', 'U': '20.5', 'UVM2': '20.2', 'UVW1': '21.0', 'UVW2': '20.9', 'idx': 999}",Konus-Wind,0.718,19.7,brightest
101129A,439471Ground Analysis20151,0.35,39600,,,39600,,{'idx': 1003},"Konus-Wind, Suzaku",,,equal
100724A,429868,1.4,88.90,-1.057,1.94442,74,V>18.31,"{'U': '18.17', 'U=18.17B': '18.99', 'UVM2': '18.19', 'UVW1': '17.96', 'UVW2': '18.97', 'idx': 1035}",ESO/MPI (2.2m),1.288,18.31,brightest
100702A,426438,0.16,93.93,-0.7605,2.51457,101,,{'idx': 1039},,,,equal
100628A,426114,0.036,85.99,-0.1871,1.7722,90,V>19.5,"{'B': '20.1', 'U': '20.2', 'UVM2': '19.3', 'UVW1': '19.6', 'UVW2': '20.3', 'idx': 1040}",INTEGRAL,,19.5,brightest
100625A,425647,0.33,48.26,-1.554,2.40449,56,V>20.3,"{'B': '21.9', 'U': '20.5', 'UVM2': '20.5', 'UVW1': '20.6', 'UVW2': '21.5', 'idx': 1041}","Konus-Wind, Fermi (GBM)",,20.3,brightest
100206A,411412,0.12,74.62,,3.05207,78,V>20.1,B>21.2U>20.5UVW1>20.7White>21.4,Fermi (GBM),,20.1,brightest
100117A,382941,0.3,80.1,3.5,2.3,89,V>19.8,"{'B': '19.9 ', 'U': '19.9 ', 'UVM2': '20.8', 'UVW1': '20.1', 'UVW2': '20.9', 'idx': 1084}","Gemini South, Magellan, Gemini North, Fermi (GBM)",,19.8,brightest
091117,IPN,0.43,96765,,,96767,See GCN 10184,See GCN 10184,"Konus-Wind, Suzaku",,,equal
091109B,375409,0.3,78.16,-0.7061,2.055,296,V>20.96,"{'B': '21.78', 'U': '21.61', 'UVM2': '20.87', 'UVW1': '21.44', 'UVW2': '20.52', 'idx': 1098}","VLT, Suzaku",,20.96,brightest
090815C,360068,0.6,21960,,,,,{'idx': 1124},,,,equal
090621B,355359,0.14,,-0.7106,3.7173800000000004,76,V>20.67,"{'B': '21.88', 'U': '21.77', 'UVM2': '21.32', 'UVW1': '21.63', 'UVW2': '20.50', 'idx': 1144}",Fermi (GBM),,20.67,brightest
090515,352108,0.036,63.85,-4.761,2.5348900000000003,67,V>19.62,"{'B': '20.70', 'U': '20.40', 'UVM2': '20.16', 'UVW1': '20.01', 'UVW2': '20.48', 'idx': 1156}",,,19.62,brightest
090510,351588,0.3,94.10,-0.6571,1.7510599999999998,80,V=18.46,"{'B': '19.62', 'U': '19.05', 'UVM2': '18.10', 'UVW1': '18.61', 'UVW2': '18.31', 'idx': 1157}","Fermi (LAT), Fermi (GBM), NOT, AGILE, Konus-Wind, La Silla (2.2m), VLT, Suzaku",0.903,18.46,equal
090426,350479,1.2,84.62,-0.945,2.0366400000000002,89,V=19.04,U=18.11B=18.92UVW1>19.92UVM2>19.63UVW2>19.82White=17.52,"TNT, Keck-I, MITSuME (50cm), Okayama Astrophysical Observatory (188cm), ESO/MPI (2.2m), VLT, Gao-Mei-GU (2.4m), Gunma Astronomical Observatory (150cm), AZT-11",2.6092.609,19.04,equal
090417A,349447,0.072,,,,,,{'idx': 1169},,,,equal
090305A,345127,0.4,103.4,~0.8,,78,V>20.6,"{'B': '21.8', 'U': '20.6', 'UVM2': '20.3', 'UVW1': '20.6', 'UVW2': '21.6', 'idx': 1182}","Gemini South, Magellan/Baade (6.5m)",,20.6,brightest
081226A,338177,0.4,94.58,-1.95,3.27129,156,V>19.24,"{'B': '20.13', 'U': '20.87', 'UVM2': '19.51', 'UVW1': '19.71', 'UVW2': '19.83', 'idx': 1198}",Fermi GBM,,19.24,brightest
081101,333320,0.20,111,,,,,{'idx': 1216},Fermi,,,equal
081024A,332516,1.8,72.26,-4.74,1.72206,76,V>18.5,"{'B': '19.6', 'U': '20.1', 'UVM2': '20.5', 'UVW1': '20.2', 'UVW2': '20.6', 'idx': 1220}",,,18.5,brightest
080919,325268,0.6,70.76,-2.321,2.93262,82,V>17.2,"{'B': '18.3', 'U': '19.6', 'UVM2': '20.4', 'UVW1': '20.4', 'UVW2': '20.8', 'idx': 1232}",,,17.2,brightest
080905A,323870,1.0,130.38,-2.301,1.52991,114,V>20.6,"{'B': '18.9', 'U': '19.2', 'UVM2': '19.2', 'UVW1': '18.8', 'UVW2': '18.1', 'idx': 1241}","NOT, VLT, Fermi (GBM)",0.1218,20.6,brightest
080702A,315710,0.5,66.33,-1.285,2.0373200000000002,73,V>19.86,"{'B': '20.8', 'U': '20.6', 'UVM2': '20.3', 'UVW1': '20.2', 'UVW2': '20.3', 'idx': 1261}",,,19.86,brightest
080426,310219,1.7,222.48,-1.19,2.0344700000000002,226,V>19.98,"{'B': '20.01', 'U': '19.79', 'UVM2': '19.94', 'UVW1': '19.99', 'UVW2': '20.26', 'idx': 1284}",,,19.98,brightest
080121,301491,0.7,198720,,,198720,V>20.73,UVM2>21.13White>22.25,,,20.73,brightest
071227,299787,1.8,79.09,-0.8278,1.89838,86,V>20.46,"{'B': '21.01', 'U': '20.33', 'UVM2': '21.00', 'UVW1': '20.17', 'UVW2': '20.65', 'idx': 1316}","Konus-Wind, VLT, Suzaku",0.3830.384,20.46,brightest
071112B,296503,0.30,3724,,2.0,3720,V>18.2,"{'B': '19.5', 'U': '19.1', 'UVM2': '18.7', 'UVW1': '18.8', 'UVW2': '18.9', 'idx': 1322}",,,18.2,brightest
070923,292004,0.05,,,,,,{'idx': 1343},,,,equal
070810B,287409,0.08,62,,,65,V>20.4,"{'B': '21.2', 'U': '20.3', 'UVM2': '20.4', 'UVW1': '20.5', 'UVW2': '21.1', 'idx': 1349}",,,20.4,brightest
070809,287344,1.3,70.78,-0.5239,1.37246,74,V>19.1,"{'B': '20.4', 'U': '20.6', 'UVM2': '21.0', 'UVW1': '20.6', 'UVW2': '20.6', 'idx': 1351}",Keck I,,19.1,brightest
070729,286373,0.9,87.09,,1.5287600000000001,91,V>20.45,"{'B': '20.97', 'U': '21.12', 'UVM2': '21.34', 'UVW1': '21.53', 'UVW2': '21.46', 'idx': 1356}",Konus-A,,20.45,brightest
070724A,285948,0.4,66.76,-2.566,1.64009,58,V>19.5,"{'B': '20.3', 'U': '20.0', 'UVM2': '20.4', 'UVW1': '20.4', 'UVW2': '20.7', 'idx': 1358}",,0.4570.457,19.5,brightest
070714A,284850,2.0,,-0.6179,2.19672,44,V>19.69,"{'B': '19.55', 'U': '19.71', 'UVM2': '18.96', 'UVW1': '19.03', 'UVW2': '18.49', 'idx': 1362}",,,19.69,brightest
070429B,277582,0.470,256.26,-0.9259,3.00655,230,V=19.3 (2.5 σ),"{'B': '20.5 (2.2 σ)', 'U': '21.8', 'UVM2': '22.0', 'UVW1': '22.4', 'UVW2': '22.4', 'idx': 1382}",,0.904,19.3,equal
070406,274153,1.200,74160,,,74160,V>21.6,"{'B': '23.0', 'U': '22.4', 'UVM2': '23.5', 'UVW1': '24.3', 'UVW2': '23.9', 'idx': 1390}",,,21.6,brightest
070209,259803,0.090,78,,,83,,{'idx': 1403},,,,equal
061217,251634,0.210,64,0.35,9.998,4917,V>20.3,"{'B': '20.2', 'U': '19.8', 'UVM2': '20.4', 'UVW1': '19.7', 'UVW2': '20.6', 'idx': 1414}",,0.827,20.3,brightest
061201,241840,0.760,81.32,-0.5197,1.65934,86,V>20.8,"{'B': '20.9', 'U': '20.7 (2.6 σ)', 'UVM2 ': '20.5 (2.7 σ)', 'UVW1': '20.7 (2.9 σ)', 'UVW2': '19.8 (2.5 σ)', 'idx': 1417}","VLT, Konus-Wind, SOAR",0.111,20.8,brightest
060801,222154,0.490,63.01,-0.8536,1.67701,67,V>20.1,"{'B': '20.6', 'U': '20.3', 'UVM2': '20.2', 'UVW1': '20.3', 'UVW2': '20.4', 'idx': 1452}","Hanle (2.0m), CAHA (3.5m), VLT",,20.1,brightest
060502B,208275,0.131,70.27,,3.0657900000000002,57,V>20.29,"{'B': '20.62', 'U': '21.04', 'UVM2': '21.31', 'UVW1': '21.29', 'UVW2': '21.29', 'idx': 1476}","MDM (1.3m), Gemini",0.287,20.29,brightest
060313,201487,0.740,78.69,-0.8686,1.9637,79,V=20.03 (2.9 σ),"{'B': '20.69 (2.7 σ)', 'U': '19.95', 'UVM2': '18.89', 'UVW1': '18.91', 'UVW2': '20.98 (2.2 σ)', 'idx': 1490}","VLT, SMARTS, La Silla (Danish 1.5m), Gemini, PROMPT, Konus-Wind",,20.03,equal
051221A,173780,1.400,88.00,-1.501,2.0589,73,V>19.2,"{'B': '20.8', 'U': '20.2', 'UVM2': '20.7', 'UVW1': '20.2', 'UVW2': '20.7', 'idx': 1519}","PAIRITEL, Gemini, RAPTOR, Chandra, MDM (1.3m), Suzaku (WAM), Konus-Wind, VLA @ 8.5 GHz, Maidanak",0.547,19.2,brightest
051210,171931,1.300,79.24,-1.723,3.05422,83,V>20.6,"{'B': '21.7', 'U': '21.2', 'UVM2': '22.1', 'UVW1': '21.7', 'UVW2': '22.3', 'idx': 1522}",Magellan,,20.6,brightest
051105A,162580,0.093,68,,,66,V>20.0,"{'B': '20.6', 'U': '20.5', 'UVM2': '20.4', 'UVW1': '20.0', 'UVW2': '20.4', 'idx': 1530}",,,20.0,brightest
050925,156838,0.070,100,,,90,V>20.2,"{'B': '21.8', 'U': '21.2', 'UVM2': '21.8', 'UVW1': '21.4', 'UVW2': '21.8', 'idx': 1541}",,,20.2,brightest
050906,153866,0.258,79,,,,,{'idx': 1549},,,,equal
050813,150139,0.450,,,2.30189,102,V>19.1,"{'B': '20.2', 'U': '19.9', 'UVM2': '19.3', 'UVW1': '19.7', 'UVW2': '20.6', 'idx': 1560}",,1.8,19.1,brightest
050509B,118749,0.073,,-0.4357,1.8848599999999998,50,V>21.1,"{'B': '21.8', 'U': '21.8', 'UVM2': '22.2', 'UVW1': '22.3', 'UVW2': '22.7', 'idx': 1583}",Keck,0.225,21.1,brightest
050202,104298,0.270,,,,,,{'idx': 1609},,,,equal
